Product_ID,Product_Name,Category,Supplier,Warehouse_Location,Stock_In,Stock_Out,Expected_Stock,Current_Stock,Date,Difference,Inventory_Status,Movement_Rate,Movement_Status
22,Keyboard,Accessories,Logitech,B1,414,105,309,293,2025-11-09,-16,Missing Inventory,0.2536231884057971,Normal
23,Monitor,Electronics,Dell,B3,339,308,31,13,2026-05-08,-18,Missing Inventory,0.9085545722713865,Fast Moving
24,Projector,Electronics,Samsung,B2,466,377,89,85,2025-10-04,-4,Normal,0.8090128755364807,Fast Moving
25,Router,Networking,Samsung,A3,433,157,276,285,2026-02-26,9,Normal,0.3625866050808314,Normal
26,RAM,Components,Logitech,C1,324,22,302,309,2025-08-16,7,Normal,0.06790123456790123,Slow Moving
27,Printer,Electronics,Dell,B3,187,52,135,153,2025-11-07,18,Overstock,0.27807486631016043,Normal
28,Scanner,Electronics,HP,C2,94,45,49,52,2026-04-01,3,Normal,0.4787234042553192,Normal
29,Scanner,Electronics,HP,B2,123,118,5,9,2025-08-22,4,Normal,0.959349593495935,Fast Moving
30,Hard Disk,Storage,HP,C1,185,87,98,110,2026-03-30,12,Normal,0.4702702702702703,Normal
31,GPU,Components,Samsung,A1,128,21,107,117,2025-08-23,10,Normal,0.1640625,Slow Moving
32,Keyboard,Accessories,Dell,B3,425,247,178,186,2025-12-29,8,Normal,0.5811764705882353,Normal
33,Keyboard,Accessories,HP,C1,177,93,84,101,2026-01-21,17,Overstock,0.5254237288135594,Normal
34,Scanner,Electronics,Dell,B1,297,199,98,89,2026-02-05,-9,Normal,0.67003367003367,Normal
35,Mouse,Accessories,Samsung,B2,100,23,77,58,2026-05-02,-19,Missing Inventory,0.23,Normal
36,Projector,Electronics,HP,A2,81,15,66,57,2026-02-19,-9,Normal,0.18518518518518517,Slow Moving
37,Mouse,Accessories,Logitech,C3,359,347,12,-2,2025-09-24,-14,Normal,0.9665738161559888,Fast Moving
38,GPU,Components,Logitech,B3,239,126,113,131,2025-11-24,18,Overstock,0.5271966527196653,Normal
39,Scanner,Electronics,Logitech,C2,226,86,140,143,2026-06-02,3,Normal,0.3805309734513274,Normal
40,GPU,Components,Logitech,B1,119,22,97,84,2025-10-08,-13,Normal,0.18487394957983194,Slow Moving
41,Mouse,Accessories,Lenovo,A3,196,189,7,-4,2026-05-12,-11,Normal,0.9642857142857143,Fast Moving
42,Router,Networking,Logitech,C2,239,88,151,135,2025-09-05,-16,Missing Inventory,0.3682008368200837,Normal
43,Router,Networking,Dell,C3,349,258,91,85,2025-06-29,-6,Normal,0.7392550143266475,Normal
44,Speaker,Electronics,Lenovo,A2,362,168,194,188,2025-12-25,-6,Normal,0.46408839779005523,Normal
45,Laptop,Electronics,Dell,A3,303,270,33,19,2026-01-25,-14,Normal,0.8910891089108911,Fast Moving
46,Speaker,Electronics,Logitech,B2,266,109,157,137,2025-11-01,-20,Missing Inventory,0.40977443609022557,Normal
47,GPU,Components,Lenovo,C2,276,66,210,193,2026-02-05,-17,Missing Inventory,0.2391304347826087,Normal
48,Webcam,Accessories,HP,C2,447,116,331,348,2025-07-25,17,Overstock,0.2595078299776286,Normal
49,Keyboard,Accessories,Lenovo,A2,422,197,225,206,2026-02-22,-19,Missing Inventory,0.466824644549763,Normal
50,Router,Networking,Lenovo,A1,434,423,11,1,2025-11-27,-10,Normal,0.9746543778801844,Fast Moving
51,Monitor,Electronics,HP,B2,59,40,19,24,2026-02-10,5,Normal,0.6779661016949152,Normal
52,Keyboard,Accessories,Lenovo,A2,427,332,95,75,2026-01-15,-20,Missing Inventory,0.7775175644028103,Normal
53,Router,Networking,Samsung,C2,118,67,51,54,2025-09-15,3,Normal,0.5677966101694916,Normal
54,Speaker,Electronics,Samsung,B1,142,122,20,11,2026-04-29,-9,Normal,0.8591549295774648,Fast Moving
55,Speaker,Electronics,Dell,B2,319,167,152,169,2025-09-20,17,Overstock,0.5235109717868338,Normal
56,SSD,Storage,Lenovo,C1,261,223,38,37,2026-03-01,-1,Normal,0.8544061302681992,Fast Moving
57,Monitor,Electronics,HP,B2,302,260,42,55,2025-09-24,13,Normal,0.8609271523178808,Fast Moving
58,Monitor,Electronics,Logitech,A3,92,20,72,74,2025-12-13,2,Normal,0.21739130434782608,Normal
59,SSD,Storage,Lenovo,A3,483,191,292,280,2026-03-26,-12,Normal,0.39544513457556935,Normal
60,GPU,Components,Dell,A3,192,126,66,68,2026-03-05,2,Normal,0.65625,Normal
61,Webcam,Accessories,Dell,C2,348,250,98,84,2025-11-25,-14,Normal,0.7183908045977011,Normal
62,Hard Disk,Storage,HP,A2,74,50,24,11,2025-08-24,-13,Normal,0.6756756756756757,Normal
63,Printer,Electronics,Samsung,C3,363,102,261,274,2025-12-07,13,Normal,0.2809917355371901,Normal
64,Hard Disk,Storage,Logitech,C3,126,35,91,93,2026-01-19,2,Normal,0.2777777777777778,Normal
65,Monitor,Electronics,Samsung,B1,300,182,118,129,2026-01-20,11,Normal,0.6066666666666667,Normal
66,RAM,Components,Logitech,B3,368,299,69,72,2025-12-13,3,Normal,0.8125,Fast Moving
67,Printer,Electronics,Lenovo,B1,493,84,409,411,2026-06-15,2,Normal,0.17038539553752535,Slow Moving
68,RAM,Components,Lenovo,C2,356,293,63,71,2026-04-08,8,Normal,0.8230337078651685,Fast Moving
69,Scanner,Electronics,Dell,A1,234,22,212,230,2026-04-06,18,Overstock,0.09401709401709402,Slow Moving
70,Monitor,Electronics,Samsung,C1,350,129,221,223,2025-12-07,2,Normal,0.36857142857142855,Normal
71,Monitor,Electronics,Logitech,B1,234,190,44,49,2025-10-12,5,Normal,0.811965811965812,Fast Moving
72,Projector,Electronics,HP,A2,388,236,152,160,2026-04-13,8,Normal,0.6082474226804123,Normal
73,Scanner,Electronics,HP,A3,255,202,53,54,2025-10-07,1,Normal,0.792156862745098,Normal
74,Laptop,Electronics,Samsung,A3,443,442,1,7,2025-12-27,6,Normal,0.9977426636568849,Fast Moving
75,Mouse,Accessories,Samsung,A2,285,178,107,107,2025-11-05,0,Normal,0.624561403508772,Normal
76,Speaker,Electronics,Lenovo,B1,185,67,118,115,2025-07-19,-3,Normal,0.3621621621621622,Normal
77,CPU,Components,Lenovo,A1,481,31,450,448,2025-07-12,-2,Normal,0.06444906444906445,Slow Moving
78,Printer,Electronics,Logitech,C2,65,26,39,48,2026-04-19,9,Normal,0.4,Normal
79,GPU,Components,HP,A3,255,172,83,76,2025-08-22,-7,Normal,0.6745098039215687,Normal
80,CPU,Components,HP,A3,467,189,278,291,2026-01-11,13,Normal,0.40471092077087795,Normal
81,Projector,Electronics,Logitech,B3,321,43,278,277,2026-04-12,-1,Normal,0.13395638629283488,Slow Moving
82,Router,Networking,Logitech,A2,121,46,75,73,2025-11-18,-2,Normal,0.38016528925619836,Normal
83,Router,Networking,Lenovo,B1,191,43,148,156,2026-01-13,8,Normal,0.225130890052356,Normal
84,CPU,Components,HP,A3,375,33,342,358,2025-12-31,16,Overstock,0.088,Slow Moving
85,Webcam,Accessories,Dell,B1,403,373,30,21,2025-10-18,-9,Normal,0.9255583126550868,Fast Moving
86,Hard Disk,Storage,Dell,C3,498,310,188,204,2025-12-04,16,Overstock,0.6224899598393574,Normal
87,Keyboard,Accessories,Lenovo,B2,289,114,175,195,2025-12-15,20,Overstock,0.3944636678200692,Normal
88,Hard Disk,Storage,Samsung,C3,160,101,59,41,2025-12-28,-18,Missing Inventory,0.63125,Normal
89,Projector,Electronics,Samsung,C2,129,44,85,90,2026-04-12,5,Normal,0.34108527131782945,Normal
90,CPU,Components,HP,A3,275,90,185,178,2026-04-22,-7,Normal,0.32727272727272727,Normal
91,Hard Disk,Storage,Samsung,B2,254,69,185,200,2026-01-06,15,Normal,0.27165354330708663,Normal
92,Router,Networking,Lenovo,A2,452,73,379,363,2026-06-13,-16,Missing Inventory,0.16150442477876106,Slow Moving
93,Mouse,Accessories,Logitech,B2,427,375,52,42,2026-02-09,-10,Normal,0.8782201405152225,Fast Moving
94,Keyboard,Accessories,Dell,A3,144,105,39,19,2025-07-18,-20,Missing Inventory,0.7291666666666666,Normal
95,GPU,Components,Dell,A2,236,122,114,115,2026-03-23,1,Normal,0.5169491525423728,Normal
96,Webcam,Accessories,Samsung,C3,78,25,53,72,2025-12-10,19,Overstock,0.32051282051282054,Normal
97,Keyboard,Accessories,Lenovo,A3,332,84,248,266,2026-01-08,18,Overstock,0.25301204819277107,Normal
98,CPU,Components,Logitech,B3,322,152,170,163,2025-09-03,-7,Normal,0.4720496894409938,Normal
99,Laptop,Electronics,Logitech,A3,440,90,350,364,2025-10-01,14,Normal,0.20454545454545456,Normal
100,Projector,Electronics,Lenovo,C3,127,1,126,128,2026-02-25,2,Normal,0.007874015748031496,Slow Moving
101,Speaker,Electronics,Dell,B2,110,56,54,45,2026-02-26,-9,Normal,0.509090909090909,Normal
102,Keyboard,Accessories,HP,C2,189,95,94,75,2025-08-15,-19,Missing Inventory,0.5026455026455027,Normal
103,Hard Disk,Storage,Lenovo,B3,379,330,49,54,2025-10-11,5,Normal,0.8707124010554089,Fast Moving
104,Router,Networking,Lenovo,B1,175,155,20,5,2025-09-12,-15,Normal,0.8857142857142857,Fast Moving
105,GPU,Components,Samsung,B2,392,332,60,53,2026-06-12,-7,Normal,0.8469387755102041,Fast Moving
106,GPU,Components,Logitech,C1,256,173,83,93,2026-06-21,10,Normal,0.67578125,Normal
107,Speaker,Electronics,HP,A3,340,104,236,250,2025-11-07,14,Normal,0.3058823529411765,Normal
108,Webcam,Accessories,Logitech,C3,83,31,52,35,2025-12-11,-17,Missing Inventory,0.37349397590361444,Normal
109,Hard Disk,Storage,Logitech,B1,313,31,282,293,2026-06-02,11,Normal,0.09904153354632587,Slow Moving
110,GPU,Components,Lenovo,A2,401,185,216,218,2025-10-23,2,Normal,0.4613466334164589,Normal
111,Monitor,Electronics,Lenovo,C2,316,213,103,111,2026-03-21,8,Normal,0.6740506329113924,Normal
112,Projector,Electronics,Samsung,C2,358,63,295,301,2026-02-01,6,Normal,0.17597765363128492,Slow Moving
113,Keyboard,Accessories,Logitech,C3,217,199,18,24,2025-07-01,6,Normal,0.9170506912442397,Fast Moving
114,Mouse,Accessories,Dell,C2,177,149,28,30,2026-03-15,2,Normal,0.8418079096045198,Fast Moving
115,Hard Disk,Storage,Dell,B2,183,97,86,73,2026-04-03,-13,Normal,0.5300546448087432,Normal
116,RAM,Components,Samsung,B2,154,118,36,34,2026-03-20,-2,Normal,0.7662337662337663,Normal
117,Router,Networking,HP,A2,240,25,215,230,2026-04-15,15,Normal,0.10416666666666667,Slow Moving
118,Projector,Electronics,Dell,A1,156,156,0,-18,2025-08-25,-18,Missing Inventory,1.0,Fast Moving
119,Scanner,Electronics,Lenovo,B3,127,13,114,119,2025-07-11,5,Normal,0.10236220472440945,Slow Moving
120,Hard Disk,Storage,HP,B3,282,128,154,142,2025-11-01,-12,Normal,0.45390070921985815,Normal
121,CPU,Components,Dell,B1,116,15,101,86,2025-10-27,-15,Normal,0.12931034482758622,Slow Moving
122,CPU,Components,HP,B3,256,138,118,117,2026-01-30,-1,Normal,0.5390625,Normal
123,SSD,Storage,HP,B2,273,110,163,154,2026-06-15,-9,Normal,0.40293040293040294,Normal
124,Printer,Electronics,HP,C3,161,98,63,72,2026-05-04,9,Normal,0.6086956521739131,Normal
125,Keyboard,Accessories,Logitech,C2,350,317,33,26,2025-11-15,-7,Normal,0.9057142857142857,Fast Moving
126,Hard Disk,Storage,Dell,B2,89,65,24,38,2025-08-22,14,Normal,0.7303370786516854,Normal
127,Laptop,Electronics,Samsung,C1,154,119,35,41,2026-05-11,6,Normal,0.7727272727272727,Normal
128,Keyboard,Accessories,HP,B2,327,112,215,195,2026-04-20,-20,Missing Inventory,0.3425076452599388,Normal
129,Webcam,Accessories,Samsung,C3,349,56,293,304,2025-06-27,11,Normal,0.16045845272206305,Slow Moving
130,Webcam,Accessories,Dell,C2,174,35,139,147,2026-03-12,8,Normal,0.20114942528735633,Normal
131,Webcam,Accessories,HP,B1,304,258,46,34,2025-12-20,-12,Normal,0.8486842105263158,Fast Moving
132,RAM,Components,Dell,A2,340,329,11,20,2025-11-13,9,Normal,0.9676470588235294,Fast Moving
133,Scanner,Electronics,Lenovo,C3,332,247,85,103,2025-12-25,18,Overstock,0.7439759036144579,Normal
134,Printer,Electronics,Lenovo,C3,216,61,155,162,2026-04-14,7,Normal,0.2824074074074074,Normal
135,GPU,Components,Dell,A3,339,60,279,287,2026-06-11,8,Normal,0.17699115044247787,Slow Moving
136,RAM,Components,Logitech,B2,403,220,183,196,2026-03-10,13,Normal,0.5459057071960298,Normal
137,Hard Disk,Storage,Logitech,C1,339,74,265,256,2025-10-11,-9,Normal,0.2182890855457227,Normal
138,Router,Networking,Lenovo,B2,224,120,104,105,2025-08-20,1,Normal,0.5357142857142857,Normal
139,Mouse,Accessories,Logitech,B3,289,143,146,130,2025-12-15,-16,Missing Inventory,0.49480968858131485,Normal
140,Mouse,Accessories,Samsung,C1,232,0,232,218,2025-07-26,-14,Normal,0.0,Slow Moving
141,Scanner,Electronics,Logitech,C1,494,66,428,434,2025-07-23,6,Normal,0.13360323886639677,Slow Moving
142,CPU,Components,Dell,A1,147,136,11,1,2025-09-01,-10,Normal,0.9251700680272109,Fast Moving
143,Hard Disk,Storage,Dell,A3,73,45,28,37,2026-04-19,9,Normal,0.6164383561643836,Normal
144,Webcam,Accessories,Logitech,B2,436,52,384,373,2026-01-12,-11,Normal,0.11926605504587157,Slow Moving
145,Keyboard,Accessories,HP,A2,495,18,477,471,2025-10-28,-6,Normal,0.03636363636363636,Slow Moving
146,RAM,Components,Lenovo,B1,124,32,92,100,2026-04-23,8,Normal,0.25806451612903225,Normal
147,Laptop,Electronics,Logitech,C3,55,25,30,26,2025-07-18,-4,Normal,0.45454545454545453,Normal
148,Laptop,Electronics,Dell,C3,268,116,152,153,2025-06-29,1,Normal,0.43283582089552236,Normal
149,Laptop,Electronics,Lenovo,C2,209,158,51,70,2026-06-09,19,Overstock,0.7559808612440191,Normal
150,Webcam,Accessories,Dell,A1,453,357,96,111,2025-12-09,15,Normal,0.7880794701986755,Normal
151,Printer,Electronics,Logitech,C3,98,35,63,44,2026-06-11,-19,Missing Inventory,0.35714285714285715,Normal
152,RAM,Components,Dell,A1,119,99,20,39,2025-07-05,19,Overstock,0.8319327731092437,Fast Moving
153,Printer,Electronics,Lenovo,A1,182,160,22,8,2025-08-06,-14,Normal,0.8791208791208791,Fast Moving
154,Printer,Electronics,Logitech,B3,320,152,168,166,2025-12-28,-2,Normal,0.475,Normal
155,Router,Networking,Logitech,C1,102,23,79,64,2025-08-08,-15,Normal,0.22549019607843138,Normal
156,Router,Networking,Logitech,C1,109,84,25,10,2025-11-06,-15,Normal,0.7706422018348624,Normal
157,Mouse,Accessories,HP,C1,268,218,50,41,2026-06-03,-9,Normal,0.8134328358208955,Fast Moving
158,Projector,Electronics,Dell,C2,249,175,74,83,2026-03-10,9,Normal,0.7028112449799196,Normal
159,Laptop,Electronics,Dell,B2,295,231,64,83,2025-09-21,19,Overstock,0.7830508474576271,Normal
160,Router,Networking,Lenovo,A2,318,250,68,86,2025-08-06,18,Overstock,0.7861635220125787,Normal
161,Speaker,Electronics,Dell,C2,105,21,84,71,2025-08-18,-13,Normal,0.2,Slow Moving
162,Laptop,Electronics,Logitech,A3,188,115,73,76,2025-09-12,3,Normal,0.6117021276595744,Normal
163,Printer,Electronics,Dell,A1,210,68,142,161,2025-10-04,19,Overstock,0.3238095238095238,Normal
164,Printer,Electronics,Samsung,A2,306,300,6,1,2025-09-25,-5,Normal,0.9803921568627451,Fast Moving
165,Hard Disk,Storage,Lenovo,A1,181,56,125,116,2025-12-23,-9,Normal,0.30939226519337015,Normal
166,Scanner,Electronics,Samsung,A1,273,64,209,211,2025-10-20,2,Normal,0.23443223443223443,Normal
167,Mouse,Accessories,Logitech,A1,133,108,25,43,2025-11-28,18,Overstock,0.8120300751879699,Fast Moving
168,Projector,Electronics,Lenovo,B1,189,43,146,133,2025-08-26,-13,Normal,0.2275132275132275,Normal
169,Laptop,Electronics,Dell,B3,81,58,23,9,2025-08-06,-14,Normal,0.7160493827160493,Normal
170,Projector,Electronics,Logitech,B3,265,24,241,228,2026-06-07,-13,Normal,0.09056603773584905,Slow Moving
171,Monitor,Electronics,HP,C3,411,316,95,92,2026-06-02,-3,Normal,0.7688564476885644,Normal
172,Router,Networking,Logitech,B1,454,402,52,40,2026-01-04,-12,Normal,0.8854625550660793,Fast Moving
173,Projector,Electronics,Logitech,A1,75,8,67,70,2025-08-17,3,Normal,0.10666666666666667,Slow Moving
174,Keyboard,Accessories,Logitech,A2,273,248,25,16,2025-09-08,-9,Normal,0.9084249084249084,Fast Moving
175,CPU,Components,Lenovo,C3,326,170,156,149,2026-03-21,-7,Normal,0.5214723926380368,Normal
176,SSD,Storage,Dell,C2,206,177,29,42,2026-04-07,13,Normal,0.8592233009708737,Fast Moving
177,Speaker,Electronics,Logitech,B3,394,159,235,236,2026-04-08,1,Normal,0.4035532994923858,Normal
178,Speaker,Electronics,Lenovo,A2,95,84,11,21,2026-01-06,10,Normal,0.8842105263157894,Fast Moving
179,SSD,Storage,Lenovo,B1,160,49,111,93,2025-10-08,-18,Missing Inventory,0.30625,Normal
180,RAM,Components,Lenovo,A2,326,256,70,88,2026-05-20,18,Overstock,0.7852760736196319,Normal
181,Speaker,Electronics,Logitech,B1,227,108,119,127,2025-10-14,8,Normal,0.47577092511013214,Normal
182,Webcam,Accessories,HP,A1,374,194,180,176,2026-03-31,-4,Normal,0.5187165775401069,Normal
183,CPU,Components,HP,C2,390,23,367,377,2025-08-07,10,Normal,0.05897435897435897,Slow Moving
184,Printer,Electronics,Lenovo,B3,361,119,242,248,2026-01-18,6,Normal,0.3296398891966759,Normal
185,Printer,Electronics,Dell,C2,379,7,372,384,2025-11-24,12,Normal,0.018469656992084433,Slow Moving
186,Mouse,Accessories,Lenovo,B1,76,3,73,69,2026-01-21,-4,Normal,0.039473684210526314,Slow Moving
187,Webcam,Accessories,Samsung,A1,134,13,121,137,2026-05-13,16,Overstock,0.09701492537313433,Slow Moving
188,Projector,Electronics,HP,B2,204,35,169,182,2025-12-01,13,Normal,0.1715686274509804,Slow Moving
189,Laptop,Electronics,HP,A3,112,52,60,74,2026-04-24,14,Normal,0.4642857142857143,Normal
190,Printer,Electronics,Samsung,B2,442,121,321,308,2025-09-27,-13,Normal,0.2737556561085973,Normal
191,Webcam,Accessories,HP,C3,124,100,24,20,2026-03-20,-4,Normal,0.8064516129032258,Fast Moving
192,GPU,Components,Lenovo,B2,350,91,259,265,2025-12-06,6,Normal,0.26,Normal
193,CPU,Components,Dell,B2,443,71,372,369,2026-04-07,-3,Normal,0.16027088036117382,Slow Moving
194,Mouse,Accessories,Lenovo,A3,416,87,329,337,2026-02-18,8,Normal,0.2091346153846154,Normal
195,SSD,Storage,Dell,B3,110,28,82,76,2026-04-06,-6,Normal,0.2545454545454545,Normal
196,GPU,Components,HP,C3,441,159,282,277,2025-10-20,-5,Normal,0.36054421768707484,Normal
197,Printer,Electronics,Logitech,A3,240,124,116,111,2026-01-26,-5,Normal,0.5166666666666667,Normal
198,Printer,Electronics,HP,C3,62,45,17,17,2025-10-31,0,Normal,0.7258064516129032,Normal
199,Keyboard,Accessories,HP,C2,368,95,273,273,2025-09-20,0,Normal,0.25815217391304346,Normal
200,Mouse,Accessories,Samsung,B1,368,312,56,41,2026-03-07,-15,Normal,0.8478260869565217,Fast Moving
201,Keyboard,Accessories,Lenovo,C2,238,121,117,113,2026-01-12,-4,Normal,0.5084033613445378,Normal
202,CPU,Components,Lenovo,A3,253,117,136,132,2026-02-19,-4,Normal,0.4624505928853755,Normal
203,SSD,Storage,Dell,A3,475,89,386,396,2026-05-26,10,Normal,0.18736842105263157,Slow Moving
204,Scanner,Electronics,Samsung,B3,173,150,23,13,2025-09-30,-10,Normal,0.8670520231213873,Fast Moving
205,Mouse,Accessories,Samsung,C2,272,12,260,261,2026-01-13,1,Normal,0.04411764705882353,Slow Moving
206,Scanner,Electronics,Samsung,C2,396,331,65,75,2025-09-06,10,Normal,0.8358585858585859,Fast Moving
207,RAM,Components,Lenovo,C1,392,63,329,349,2025-09-12,20,Overstock,0.16071428571428573,Slow Moving
208,Hard Disk,Storage,Logitech,B3,221,9,212,206,2026-02-23,-6,Normal,0.04072398190045249,Slow Moving
209,GPU,Components,Logitech,A1,360,262,98,80,2025-12-13,-18,Missing Inventory,0.7277777777777777,Normal
210,Router,Networking,Logitech,B2,106,12,94,90,2026-06-19,-4,Normal,0.11320754716981132,Slow Moving
211,Scanner,Electronics,Dell,C1,179,160,19,36,2026-02-03,17,Overstock,0.8938547486033519,Fast Moving
212,GPU,Components,Samsung,B3,479,196,283,276,2025-09-30,-7,Normal,0.4091858037578288,Normal
213,Monitor,Electronics,Logitech,A1,182,151,31,13,2025-08-26,-18,Missing Inventory,0.8296703296703297,Fast Moving
214,Printer,Electronics,Dell,B3,124,73,51,60,2025-09-02,9,Normal,0.5887096774193549,Normal
215,Router,Networking,Lenovo,B2,241,55,186,186,2026-02-27,0,Normal,0.22821576763485477,Normal
216,RAM,Components,HP,C1,261,183,78,79,2026-04-11,1,Normal,0.7011494252873564,Normal
217,CPU,Components,HP,C2,134,20,114,133,2026-03-03,19,Overstock,0.14925373134328357,Slow Moving
218,Projector,Electronics,HP,A1,71,29,42,43,2025-06-25,1,Normal,0.4084507042253521,Normal
219,Mouse,Accessories,Logitech,A3,215,169,46,37,2025-07-13,-9,Normal,0.786046511627907,Normal
220,Hard Disk,Storage,Dell,B2,325,252,73,78,2025-08-03,5,Normal,0.7753846153846153,Normal
221,SSD,Storage,Logitech,A2,420,121,299,301,2025-12-31,2,Normal,0.28809523809523807,Normal
222,Speaker,Electronics,Lenovo,A1,381,86,295,275,2025-11-27,-20,Missing Inventory,0.22572178477690288,Normal
223,RAM,Components,Dell,B1,427,136,291,296,2026-04-29,5,Normal,0.3185011709601874,Normal
224,RAM,Components,Dell,C2,325,139,186,186,2026-06-23,0,Normal,0.4276923076923077,Normal
225,CPU,Components,Dell,B3,154,56,98,98,2025-11-22,0,Normal,0.36363636363636365,Normal
226,Scanner,Electronics,Samsung,C1,482,414,68,52,2026-01-04,-16,Missing Inventory,0.8589211618257261,Fast Moving
227,Projector,Electronics,Logitech,A1,259,148,111,129,2025-10-17,18,Overstock,0.5714285714285714,Normal
228,RAM,Components,Samsung,A2,247,138,109,121,2025-08-09,12,Normal,0.5587044534412956,Normal
229,Projector,Electronics,Logitech,C1,425,251,174,186,2025-12-04,12,Normal,0.5905882352941176,Normal
230,SSD,Storage,HP,C2,164,65,99,118,2025-12-14,19,Overstock,0.39634146341463417,Normal
231,Scanner,Electronics,Samsung,A2,433,78,355,340,2026-01-16,-15,Normal,0.18013856812933027,Slow Moving
232,GPU,Components,HP,B1,399,197,202,208,2025-12-08,6,Normal,0.49373433583959897,Normal
233,Projector,Electronics,Samsung,A2,368,79,289,286,2025-10-02,-3,Normal,0.21467391304347827,Normal
234,Router,Networking,Dell,C3,128,98,30,49,2026-02-14,19,Overstock,0.765625,Normal
235,CPU,Components,Logitech,B1,323,95,228,240,2026-02-27,12,Normal,0.29411764705882354,Normal
236,Monitor,Electronics,Logitech,A1,206,6,200,195,2026-02-20,-5,Normal,0.02912621359223301,Slow Moving
237,Mouse,Accessories,Lenovo,A3,298,47,251,265,2025-09-18,14,Normal,0.15771812080536912,Slow Moving
238,Monitor,Electronics,Logitech,B2,381,170,211,209,2026-03-03,-2,Normal,0.4461942257217848,Normal
239,Keyboard,Accessories,Lenovo,C2,292,40,252,258,2026-01-20,6,Normal,0.136986301369863,Slow Moving
240,CPU,Components,Lenovo,B1,191,113,78,71,2025-10-23,-7,Normal,0.5916230366492147,Normal
241,Projector,Electronics,Lenovo,C2,141,33,108,105,2025-07-12,-3,Normal,0.23404255319148937,Normal
242,Hard Disk,Storage,Dell,B3,209,134,75,70,2026-04-19,-5,Normal,0.6411483253588517,Normal
243,GPU,Components,Lenovo,A3,471,89,382,401,2026-03-22,19,Overstock,0.18895966029723993,Slow Moving
244,Keyboard,Accessories,Samsung,A2,184,102,82,81,2025-10-26,-1,Normal,0.5543478260869565,Normal
245,GPU,Components,Logitech,B1,120,95,25,12,2025-11-28,-13,Normal,0.7916666666666666,Normal
246,Printer,Electronics,Dell,B3,487,68,419,425,2025-10-18,6,Normal,0.13963039014373715,Slow Moving
247,Monitor,Electronics,HP,C2,327,295,32,39,2026-02-02,7,Normal,0.9021406727828746,Fast Moving
248,RAM,Components,Dell,C2,121,55,66,69,2026-01-03,3,Normal,0.45454545454545453,Normal
249,Mouse,Accessories,Lenovo,A3,91,2,89,72,2025-09-12,-17,Missing Inventory,0.02197802197802198,Slow Moving
250,CPU,Components,Lenovo,B1,161,22,139,147,2026-04-22,8,Normal,0.13664596273291926,Slow Moving
251,CPU,Components,Dell,B2,123,3,120,111,2025-10-01,-9,Normal,0.024390243902439025,Slow Moving
252,Mouse,Accessories,Lenovo,A1,404,163,241,253,2025-09-25,12,Normal,0.4034653465346535,Normal
253,SSD,Storage,Logitech,C2,476,179,297,305,2025-08-27,8,Normal,0.3760504201680672,Normal
