Product_ID,Product_Name,Category,Supplier,Warehouse_Location,Stock_In,Stock_Out,Expected_Stock,Current_Stock,Date
45,Laptop,Electronics,Dell,A3,303,270,33,19,2026-01-25
46,Speaker,Electronics,Logitech,B2,266,109,157,137,2025-11-01
47,GPU,Components,Lenovo,C2,276,66,210,193,2026-02-05
48,Webcam,Accessories,HP,C2,447,116,331,348,2025-07-25
49,Keyboard,Accessories,Lenovo,A2,422,197,225,206,2026-02-22
50,Router,Networking,Lenovo,A1,434,423,11,1,2025-11-27
51,Monitor,Electronics,HP,B2,59,40,19,24,2026-02-10
52,Keyboard,Accessories,Lenovo,A2,427,332,95,75,2026-01-15
53,Router,Networking,Samsung,C2,118,67,51,54,2025-09-15
54,Speaker,Electronics,Samsung,B1,142,122,20,11,2026-04-29
55,Speaker,Electronics,Dell,B2,319,167,152,169,2025-09-20
56,SSD,Storage,Lenovo,C1,261,223,38,37,2026-03-01
57,Monitor,Electronics,HP,B2,302,260,42,55,2025-09-24
58,Monitor,Electronics,Logitech,A3,92,20,72,74,2025-12-13
59,SSD,Storage,Lenovo,A3,483,191,292,280,2026-03-26
60,GPU,Components,Dell,A3,192,126,66,68,2026-03-05
61,Webcam,Accessories,Dell,C2,348,250,98,84,2025-11-25
62,Hard Disk,Storage,HP,A2,74,50,24,11,2025-08-24
63,Printer,Electronics,Samsung,C3,363,102,261,274,2025-12-07
64,Hard Disk,Storage,Logitech,C3,126,35,91,93,2026-01-19
65,Monitor,Electronics,Samsung,B1,300,182,118,129,2026-01-20
66,RAM,Components,Logitech,B3,368,299,69,72,2025-12-13
67,Printer,Electronics,Lenovo,B1,493,84,409,411,2026-06-15
68,RAM,Components,Lenovo,C2,356,293,63,71,2026-04-08
69,Scanner,Electronics,Dell,A1,234,22,212,230,2026-04-06
70,Monitor,Electronics,Samsung,C1,350,129,221,223,2025-12-07
71,Monitor,Electronics,Logitech,B1,234,190,44,49,2025-10-12
72,Projector,Electronics,HP,A2,388,236,152,160,2026-04-13
73,Scanner,Electronics,HP,A3,255,202,53,54,2025-10-07
74,Laptop,Electronics,Samsung,A3,443,442,1,7,2025-12-27
75,Mouse,Accessories,Samsung,A2,285,178,107,107,2025-11-05
76,Speaker,Electronics,Lenovo,B1,185,67,118,115,2025-07-19
77,CPU,Components,Lenovo,A1,481,31,450,448,2025-07-12
78,Printer,Electronics,Logitech,C2,65,26,39,48,2026-04-19
79,GPU,Components,HP,A3,255,172,83,76,2025-08-22
80,CPU,Components,HP,A3,467,189,278,291,2026-01-11
81,Projector,Electronics,Logitech,B3,321,43,278,277,2026-04-12
82,Router,Networking,Logitech,A2,121,46,75,73,2025-11-18
83,Router,Networking,Lenovo,B1,191,43,148,156,2026-01-13
84,CPU,Components,HP,A3,375,33,342,358,2025-12-31
85,Webcam,Accessories,Dell,B1,403,373,30,21,2025-10-18
86,Hard Disk,Storage,Dell,C3,498,310,188,204,2025-12-04
87,Keyboard,Accessories,Lenovo,B2,289,114,175,195,2025-12-15
88,Hard Disk,Storage,Samsung,C3,160,101,59,41,2025-12-28
89,Projector,Electronics,Samsung,C2,129,44,85,90,2026-04-12
90,CPU,Components,HP,A3,275,90,185,178,2026-04-22
91,Hard Disk,Storage,Samsung,B2,254,69,185,200,2026-01-06
92,Router,Networking,Lenovo,A2,452,73,379,363,2026-06-13
93,Mouse,Accessories,Logitech,B2,427,375,52,42,2026-02-09
94,Keyboard,Accessories,Dell,A3,144,105,39,19,2025-07-18
95,GPU,Components,Dell,A2,236,122,114,115,2026-03-23
96,Webcam,Accessories,Samsung,C3,78,25,53,72,2025-12-10
97,Keyboard,Accessories,Lenovo,A3,332,84,248,266,2026-01-08
98,CPU,Components,Logitech,B3,322,152,170,163,2025-09-03
99,Laptop,Electronics,Logitech,A3,440,90,350,364,2025-10-01
100,Projector,Electronics,Lenovo,C3,127,1,126,128,2026-02-25
101,Speaker,Electronics,Dell,B2,110,56,54,45,2026-02-26
102,Keyboard,Accessories,HP,C2,189,95,94,75,2025-08-15
103,Hard Disk,Storage,Lenovo,B3,379,330,49,54,2025-10-11
104,Router,Networking,Lenovo,B1,175,155,20,5,2025-09-12
105,GPU,Components,Samsung,B2,392,332,60,53,2026-06-12
106,GPU,Components,Logitech,C1,256,173,83,93,2026-06-21
107,Speaker,Electronics,HP,A3,340,104,236,250,2025-11-07
108,Webcam,Accessories,Logitech,C3,83,31,52,35,2025-12-11
109,Hard Disk,Storage,Logitech,B1,313,31,282,293,2026-06-02
110,GPU,Components,Lenovo,A2,401,185,216,218,2025-10-23
111,Monitor,Electronics,Lenovo,C2,316,213,103,111,2026-03-21
112,Projector,Electronics,Samsung,C2,358,63,295,301,2026-02-01
113,Keyboard,Accessories,Logitech,C3,217,199,18,24,2025-07-01
114,Mouse,Accessories,Dell,C2,177,149,28,30,2026-03-15
115,Hard Disk,Storage,Dell,B2,183,97,86,73,2026-04-03
116,RAM,Components,Samsung,B2,154,118,36,34,2026-03-20
117,Router,Networking,HP,A2,240,25,215,230,2026-04-15
118,Projector,Electronics,Dell,A1,156,156,0,-18,2025-08-25
119,Scanner,Electronics,Lenovo,B3,127,13,114,119,2025-07-11
120,Hard Disk,Storage,HP,B3,282,128,154,142,2025-11-01
121,CPU,Components,Dell,B1,116,15,101,86,2025-10-27
122,CPU,Components,HP,B3,256,138,118,117,2026-01-30
123,SSD,Storage,HP,B2,273,110,163,154,2026-06-15
124,Printer,Electronics,HP,C3,161,98,63,72,2026-05-04
125,Keyboard,Accessories,Logitech,C2,350,317,33,26,2025-11-15
126,Hard Disk,Storage,Dell,B2,89,65,24,38,2025-08-22
127,Laptop,Electronics,Samsung,C1,154,119,35,41,2026-05-11
128,Keyboard,Accessories,HP,B2,327,112,215,195,2026-04-20
129,Webcam,Accessories,Samsung,C3,349,56,293,304,2025-06-27
130,Webcam,Accessories,Dell,C2,174,35,139,147,2026-03-12
131,Webcam,Accessories,HP,B1,304,258,46,34,2025-12-20
132,RAM,Components,Dell,A2,340,329,11,20,2025-11-13
133,Scanner,Electronics,Lenovo,C3,332,247,85,103,2025-12-25
134,Printer,Electronics,Lenovo,C3,216,61,155,162,2026-04-14
135,GPU,Components,Dell,A3,339,60,279,287,2026-06-11
136,RAM,Components,Logitech,B2,403,220,183,196,2026-03-10
137,Hard Disk,Storage,Logitech,C1,339,74,265,256,2025-10-11
138,Router,Networking,Lenovo,B2,224,120,104,105,2025-08-20
139,Mouse,Accessories,Logitech,B3,289,143,146,130,2025-12-15
140,Mouse,Accessories,Samsung,C1,232,0,232,218,2025-07-26
141,Scanner,Electronics,Logitech,C1,494,66,428,434,2025-07-23
142,CPU,Components,Dell,A1,147,136,11,1,2025-09-01
143,Hard Disk,Storage,Dell,A3,73,45,28,37,2026-04-19
144,Webcam,Accessories,Logitech,B2,436,52,384,373,2026-01-12
145,Keyboard,Accessories,HP,A2,495,18,477,471,2025-10-28
146,RAM,Components,Lenovo,B1,124,32,92,100,2026-04-23
147,Laptop,Electronics,Logitech,C3,55,25,30,26,2025-07-18
148,Laptop,Electronics,Dell,C3,268,116,152,153,2025-06-29
149,Laptop,Electronics,Lenovo,C2,209,158,51,70,2026-06-09
150,Webcam,Accessories,Dell,A1,453,357,96,111,2025-12-09
151,Printer,Electronics,Logitech,C3,98,35,63,44,2026-06-11
152,RAM,Components,Dell,A1,119,99,20,39,2025-07-05
153,Printer,Electronics,Lenovo,A1,182,160,22,8,2025-08-06
154,Printer,Electronics,Logitech,B3,320,152,168,166,2025-12-28
155,Router,Networking,Logitech,C1,102,23,79,64,2025-08-08
156,Router,Networking,Logitech,C1,109,84,25,10,2025-11-06
157,Mouse,Accessories,HP,C1,268,218,50,41,2026-06-03
158,Projector,Electronics,Dell,C2,249,175,74,83,2026-03-10
159,Laptop,Electronics,Dell,B2,295,231,64,83,2025-09-21
160,Router,Networking,Lenovo,A2,318,250,68,86,2025-08-06
161,Speaker,Electronics,Dell,C2,105,21,84,71,2025-08-18
162,Laptop,Electronics,Logitech,A3,188,115,73,76,2025-09-12
163,Printer,Electronics,Dell,A1,210,68,142,161,2025-10-04
164,Printer,Electronics,Samsung,A2,306,300,6,1,2025-09-25
165,Hard Disk,Storage,Lenovo,A1,181,56,125,116,2025-12-23
166,Scanner,Electronics,Samsung,A1,273,64,209,211,2025-10-20
167,Mouse,Accessories,Logitech,A1,133,108,25,43,2025-11-28
168,Projector,Electronics,Lenovo,B1,189,43,146,133,2025-08-26
169,Laptop,Electronics,Dell,B3,81,58,23,9,2025-08-06
170,Projector,Electronics,Logitech,B3,265,24,241,228,2026-06-07
171,Monitor,Electronics,HP,C3,411,316,95,92,2026-06-02
172,Router,Networking,Logitech,B1,454,402,52,40,2026-01-04
173,Projector,Electronics,Logitech,A1,75,8,67,70,2025-08-17
174,Keyboard,Accessories,Logitech,A2,273,248,25,16,2025-09-08
175,CPU,Components,Lenovo,C3,326,170,156,149,2026-03-21
176,SSD,Storage,Dell,C2,206,177,29,42,2026-04-07
177,Speaker,Electronics,Logitech,B3,394,159,235,236,2026-04-08
178,Speaker,Electronics,Lenovo,A2,95,84,11,21,2026-01-06
179,SSD,Storage,Lenovo,B1,160,49,111,93,2025-10-08
180,RAM,Components,Lenovo,A2,326,256,70,88,2026-05-20
181,Speaker,Electronics,Logitech,B1,227,108,119,127,2025-10-14
182,Webcam,Accessories,HP,A1,374,194,180,176,2026-03-31
183,CPU,Components,HP,C2,390,23,367,377,2025-08-07
184,Printer,Electronics,Lenovo,B3,361,119,242,248,2026-01-18
185,Printer,Electronics,Dell,C2,379,7,372,384,2025-11-24
186,Mouse,Accessories,Lenovo,B1,76,3,73,69,2026-01-21
187,Webcam,Accessories,Samsung,A1,134,13,121,137,2026-05-13
188,Projector,Electronics,HP,B2,204,35,169,182,2025-12-01
189,Laptop,Electronics,HP,A3,112,52,60,74,2026-04-24
190,Printer,Electronics,Samsung,B2,442,121,321,308,2025-09-27
191,Webcam,Accessories,HP,C3,124,100,24,20,2026-03-20
192,GPU,Components,Lenovo,B2,350,91,259,265,2025-12-06
193,CPU,Components,Dell,B2,443,71,372,369,2026-04-07
194,Mouse,Accessories,Lenovo,A3,416,87,329,337,2026-02-18
195,SSD,Storage,Dell,B3,110,28,82,76,2026-04-06
196,GPU,Components,HP,C3,441,159,282,277,2025-10-20
197,Printer,Electronics,Logitech,A3,240,124,116,111,2026-01-26
198,Printer,Electronics,HP,C3,62,45,17,17,2025-10-31
199,Keyboard,Accessories,HP,C2,368,95,273,273,2025-09-20
200,Mouse,Accessories,Samsung,B1,368,312,56,41,2026-03-07
201,Keyboard,Accessories,Lenovo,C2,238,121,117,113,2026-01-12
202,CPU,Components,Lenovo,A3,253,117,136,132,2026-02-19
203,SSD,Storage,Dell,A3,475,89,386,396,2026-05-26
204,Scanner,Electronics,Samsung,B3,173,150,23,13,2025-09-30
205,Mouse,Accessories,Samsung,C2,272,12,260,261,2026-01-13
206,Scanner,Electronics,Samsung,C2,396,331,65,75,2025-09-06
207,RAM,Components,Lenovo,C1,392,63,329,349,2025-09-12
208,Hard Disk,Storage,Logitech,B3,221,9,212,206,2026-02-23
209,GPU,Components,Logitech,A1,360,262,98,80,2025-12-13
210,Router,Networking,Logitech,B2,106,12,94,90,2026-06-19
211,Scanner,Electronics,Dell,C1,179,160,19,36,2026-02-03
212,GPU,Components,Samsung,B3,479,196,283,276,2025-09-30
213,Monitor,Electronics,Logitech,A1,182,151,31,13,2025-08-26
214,Printer,Electronics,Dell,B3,124,73,51,60,2025-09-02
215,Router,Networking,Lenovo,B2,241,55,186,186,2026-02-27
216,RAM,Components,HP,C1,261,183,78,79,2026-04-11
217,CPU,Components,HP,C2,134,20,114,133,2026-03-03
218,Projector,Electronics,HP,A1,71,29,42,43,2025-06-25
219,Mouse,Accessories,Logitech,A3,215,169,46,37,2025-07-13
220,Hard Disk,Storage,Dell,B2,325,252,73,78,2025-08-03
221,SSD,Storage,Logitech,A2,420,121,299,301,2025-12-31
222,Speaker,Electronics,Lenovo,A1,381,86,295,275,2025-11-27
223,RAM,Components,Dell,B1,427,136,291,296,2026-04-29
224,RAM,Components,Dell,C2,325,139,186,186,2026-06-23
225,CPU,Components,Dell,B3,154,56,98,98,2025-11-22
226,Scanner,Electronics,Samsung,C1,482,414,68,52,2026-01-04
227,Projector,Electronics,Logitech,A1,259,148,111,129,2025-10-17
228,RAM,Components,Samsung,A2,247,138,109,121,2025-08-09
229,Projector,Electronics,Logitech,C1,425,251,174,186,2025-12-04
230,SSD,Storage,HP,C2,164,65,99,118,2025-12-14
231,Scanner,Electronics,Samsung,A2,433,78,355,340,2026-01-16
232,GPU,Components,HP,B1,399,197,202,208,2025-12-08
233,Projector,Electronics,Samsung,A2,368,79,289,286,2025-10-02
234,Router,Networking,Dell,C3,128,98,30,49,2026-02-14
235,CPU,Components,Logitech,B1,323,95,228,240,2026-02-27
236,Monitor,Electronics,Logitech,A1,206,6,200,195,2026-02-20
237,Mouse,Accessories,Lenovo,A3,298,47,251,265,2025-09-18
238,Monitor,Electronics,Logitech,B2,381,170,211,209,2026-03-03
239,Keyboard,Accessories,Lenovo,C2,292,40,252,258,2026-01-20
240,CPU,Components,Lenovo,B1,191,113,78,71,2025-10-23
241,Projector,Electronics,Lenovo,C2,141,33,108,105,2025-07-12
242,Hard Disk,Storage,Dell,B3,209,134,75,70,2026-04-19
243,GPU,Components,Lenovo,A3,471,89,382,401,2026-03-22
244,Keyboard,Accessories,Samsung,A2,184,102,82,81,2025-10-26
245,GPU,Components,Logitech,B1,120,95,25,12,2025-11-28
246,Printer,Electronics,Dell,B3,487,68,419,425,2025-10-18
247,Monitor,Electronics,HP,C2,327,295,32,39,2026-02-02
248,RAM,Components,Dell,C2,121,55,66,69,2026-01-03
249,Mouse,Accessories,Lenovo,A3,91,2,89,72,2025-09-12
250,CPU,Components,Lenovo,B1,161,22,139,147,2026-04-22
251,CPU,Components,Dell,B2,123,3,120,111,2025-10-01
252,Mouse,Accessories,Lenovo,A1,404,163,241,253,2025-09-25
253,SSD,Storage,Logitech,C2,476,179,297,305,2025-08-27
254,Mouse,Accessories,Dell,B2,336,58,278,274,2025-10-24
255,Scanner,Electronics,HP,B1,111,7,104,100,2025-08-20
256,Keyboard,Accessories,HP,C3,163,120,43,52,2025-08-08
257,Mouse,Accessories,Samsung,A1,300,267,33,50,2026-06-18
258,Webcam,Accessories,Samsung,A2,382,142,240,248,2026-02-25
259,Hard Disk,Storage,HP,C2,318,101,217,201,2026-02-23
260,Laptop,Electronics,Logitech,B2,440,398,42,33,2026-01-19
261,Projector,Electronics,Lenovo,B1,285,229,56,62,2026-01-30
262,SSD,Storage,Dell,C2,204,13,191,178,2025-08-19
263,Laptop,Electronics,Logitech,C3,324,307,17,10,2025-12-16
264,Keyboard,Accessories,Lenovo,A3,51,35,16,23,2025-10-06
265,Laptop,Electronics,HP,A2,344,126,218,214,2026-01-13
266,RAM,Components,Dell,C2,280,244,36,31,2026-03-31
267,SSD,Storage,Logitech,C2,303,189,114,133,2025-08-27
268,Hard Disk,Storage,Logitech,A3,237,41,196,200,2026-02-21
269,Printer,Electronics,Dell,C1,264,75,189,200,2025-09-14
270,Mouse,Accessories,Dell,C2,204,184,20,21,2026-06-24
271,Mouse,Accessories,HP,A1,229,9,220,222,2026-04-11
272,Keyboard,Accessories,Samsung,A2,424,313,111,98,2025-12-31
273,SSD,Storage,HP,C3,136,38,98,82,2026-04-19
274,Keyboard,Accessories,Lenovo,A1,274,204,70,50,2025-07-31
275,Mouse,Accessories,Samsung,C1,219,64,155,155,2026-03-05
276,RAM,Components,Samsung,B1,88,14,74,88,2025-07-01
277,Speaker,Electronics,Dell,C1,352,17,335,348,2025-07-31
278,Router,Networking,Samsung,C2,291,232,59,73,2025-12-22
279,CPU,Components,Samsung,C3,454,199,255,260,2025-07-22
280,Hard Disk,Storage,Logitech,A1,108,27,81,89,2025-08-29
281,Scanner,Electronics,Samsung,B3,212,112,100,85,2026-03-01
282,Mouse,Accessories,HP,A2,52,20,32,39,2026-04-27
283,Scanner,Electronics,Lenovo,C1,440,60,380,386,2026-03-31
284,GPU,Components,Lenovo,C1,363,361,2,22,2025-12-15
285,GPU,Components,Dell,C1,478,371,107,119,2026-04-23
286,GPU,Components,Dell,A3,410,79,331,338,2026-02-27
287,Router,Networking,Dell,C3,421,139,282,269,2025-08-03
288,CPU,Components,Lenovo,A2,441,242,199,182,2025-11-24
289,Laptop,Electronics,Dell,B1,324,51,273,270,2025-11-30
290,SSD,Storage,HP,B2,244,114,130,146,2026-06-14
291,Printer,Electronics,HP,B1,238,202,36,54,2025-06-27
292,Keyboard,Accessories,HP,A2,293,244,49,34,2026-03-30
293,Keyboard,Accessories,HP,A3,418,199,219,232,2025-08-24
294,Webcam,Accessories,HP,A3,251,112,139,144,2025-08-10
295,Speaker,Electronics,Dell,B2,97,96,1,3,2026-02-17
296,CPU,Components,Dell,A2,499,32,467,471,2025-07-01
297,Scanner,Electronics,Samsung,C2,93,87,6,13,2026-01-29
298,Monitor,Electronics,Lenovo,C2,68,28,40,48,2026-01-21
299,Speaker,Electronics,Samsung,C2,414,360,54,70,2026-05-27
300,Monitor,Electronics,Lenovo,A1,115,110,5,-12,2025-09-11
301,Router,Networking,Dell,B2,458,378,80,80,2025-12-05
302,CPU,Components,Samsung,A2,177,163,14,-2,2025-09-15
303,CPU,Components,Lenovo,C3,283,54,229,209,2025-09-30
304,Hard Disk,Storage,Samsung,B2,196,117,79,62,2026-02-22
305,Keyboard,Accessories,HP,A1,62,55,7,-3,2025-09-28
306,Keyboard,Accessories,Lenovo,A1,111,15,96,92,2025-09-12
307,Laptop,Electronics,Logitech,A1,447,176,271,256,2026-02-04
308,Monitor,Electronics,HP,C3,214,7,207,220,2026-04-23
309,Webcam,Accessories,Samsung,B1,450,42,408,388,2025-07-14
310,Hard Disk,Storage,HP,A3,417,306,111,103,2025-11-14
311,Router,Networking,Lenovo,B1,162,60,102,120,2025-09-24
312,Hard Disk,Storage,HP,C2,294,138,156,173,2026-05-15
313,Scanner,Electronics,Dell,C1,289,102,187,175,2026-04-19
314,Projector,Electronics,Samsung,A3,421,139,282,286,2025-08-11
315,GPU,Components,Lenovo,A3,312,100,212,230,2025-09-07
316,Webcam,Accessories,Dell,B3,82,57,25,31,2026-06-05
317,Scanner,Electronics,Logitech,A2,334,97,237,257,2026-05-27
318,Keyboard,Accessories,Logitech,A3,351,225,126,133,2026-04-19
319,Laptop,Electronics,Logitech,C2,459,360,99,91,2026-05-06
320,Keyboard,Accessories,Lenovo,B2,67,26,41,24,2025-07-03
321,Laptop,Electronics,HP,C3,366,223,143,142,2026-05-25
322,Hard Disk,Storage,Samsung,B1,374,47,327,312,2025-08-22
323,Router,Networking,Samsung,A1,283,234,49,45,2025-09-20
324,Projector,Electronics,Lenovo,A3,336,229,107,114,2025-08-22
325,GPU,Components,Lenovo,A1,72,27,45,32,2025-07-23
326,Speaker,Electronics,Logitech,C3,226,81,145,134,2025-11-16
327,Scanner,Electronics,Dell,C3,301,262,39,56,2026-03-10
328,Mouse,Accessories,Lenovo,A3,220,78,142,134,2025-12-25
329,Projector,Electronics,HP,A2,53,20,33,27,2026-03-24
330,RAM,Components,Lenovo,C2,431,212,219,225,2025-09-17
331,Monitor,Electronics,Logitech,B1,397,205,192,203,2026-01-10
332,Keyboard,Accessories,Logitech,B3,455,304,151,136,2025-10-31
333,Printer,Electronics,Lenovo,A1,297,248,49,32,2026-04-29
334,Printer,Electronics,Samsung,C3,104,29,75,61,2025-07-20
335,Hard Disk,Storage,HP,C3,467,443,24,33,2026-05-03
336,SSD,Storage,Logitech,A2,320,167,153,141,2025-10-13
337,Webcam,Accessories,Samsung,B3,82,81,1,-18,2025-12-25
338,GPU,Components,Logitech,B3,171,129,42,26,2025-07-09
339,GPU,Components,Samsung,A2,486,5,481,494,2026-05-13
340,Printer,Electronics,Logitech,A2,225,17,208,192,2026-02-17
341,Printer,Electronics,HP,B3,311,198,113,103,2026-05-23
342,Scanner,Electronics,Dell,C1,302,203,99,109,2025-12-06
343,Projector,Electronics,Logitech,C1,222,219,3,6,2026-04-18
344,Hard Disk,Storage,Lenovo,B2,224,159,65,51,2025-10-28
345,Hard Disk,Storage,Logitech,B3,393,297,96,113,2026-03-14
346,Router,Networking,Lenovo,B2,465,60,405,400,2025-10-02
347,Hard Disk,Storage,Logitech,C1,463,44,419,434,2025-08-21
348,Hard Disk,Storage,Lenovo,B3,475,167,308,315,2025-12-31
349,Webcam,Accessories,Samsung,A3,445,419,26,12,2026-05-07
350,SSD,Storage,Logitech,A2,455,255,200,199,2025-10-11
351,CPU,Components,HP,C2,493,359,134,139,2026-02-01
352,Router,Networking,Logitech,B2,198,42,156,143,2026-01-26
353,Hard Disk,Storage,HP,A3,349,201,148,154,2026-06-09
354,Monitor,Electronics,Samsung,C2,211,53,158,157,2026-06-23
355,CPU,Components,Samsung,C1,70,68,2,16,2026-04-13
356,Monitor,Electronics,HP,A1,58,23,35,17,2025-12-01
357,Speaker,Electronics,Dell,B1,82,19,63,83,2026-01-25
358,Laptop,Electronics,Samsung,B3,108,53,55,45,2025-08-11
359,Keyboard,Accessories,Dell,B1,84,61,23,22,2025-09-08
360,Hard Disk,Storage,Samsung,C2,217,30,187,194,2025-08-07
361,Projector,Electronics,Logitech,B3,94,39,55,43,2025-11-10
362,Printer,Electronics,Logitech,C1,477,282,195,188,2026-06-06
363,RAM,Components,Samsung,B1,107,20,87,107,2025-11-18
364,Mouse,Accessories,Lenovo,A3,325,114,211,199,2026-04-15
365,Speaker,Electronics,Dell,A2,300,183,117,120,2026-03-06
366,GPU,Components,HP,C1,411,377,34,28,2026-04-16
367,CPU,Components,Samsung,C1,235,62,173,182,2025-10-24
368,Mouse,Accessories,Logitech,A1,268,137,131,137,2026-02-16
369,Monitor,Electronics,Samsung,C2,439,226,213,209,2026-04-12
370,Mouse,Accessories,Logitech,B1,143,92,51,59,2026-03-07
371,Scanner,Electronics,HP,C2,166,55,111,112,2026-03-23
372,Projector,Electronics,Samsung,A2,333,125,208,213,2026-01-16
373,SSD,Storage,HP,C1,76,58,18,13,2026-01-01
374,Router,Networking,Logitech,C1,304,221,83,89,2025-11-14
375,Webcam,Accessories,Logitech,B2,478,44,434,415,2026-06-22
376,Router,Networking,Lenovo,A2,179,89,90,96,2025-09-19
377,Monitor,Electronics,HP,A2,452,249,203,215,2025-10-03
378,Printer,Electronics,HP,A3,489,452,37,18,2026-01-15
379,Keyboard,Accessories,HP,C1,68,60,8,27,2025-07-15
380,RAM,Components,Logitech,C2,114,19,95,78,2025-10-27
381,Printer,Electronics,HP,B2,379,303,76,88,2025-12-30
382,Projector,Electronics,Dell,A1,385,192,193,213,2025-11-14
383,Printer,Electronics,Dell,C2,480,317,163,167,2025-10-13
384,RAM,Components,Logitech,A3,420,104,316,316,2025-10-16
385,Projector,Electronics,HP,B1,133,32,101,84,2025-08-23
386,Projector,Electronics,Samsung,C2,341,186,155,138,2025-07-18
387,Projector,Electronics,Logitech,A2,85,56,29,37,2025-12-10
388,Projector,Electronics,Dell,A1,432,310,122,123,2026-02-10
389,Hard Disk,Storage,Dell,B2,362,269,93,99,2026-03-19
390,Speaker,Electronics,Dell,B2,283,140,143,134,2026-02-06
391,Monitor,Electronics,Dell,A3,344,68,276,259,2025-10-28
392,Hard Disk,Storage,Lenovo,A2,169,105,64,73,2026-04-07
393,Webcam,Accessories,HP,C1,358,41,317,334,2025-08-29
394,CPU,Components,Lenovo,B1,305,280,25,20,2026-02-17
395,Printer,Electronics,Dell,A1,170,24,146,149,2026-06-15
396,Monitor,Electronics,Samsung,B3,106,84,22,11,2026-01-31
397,CPU,Components,HP,C2,264,20,244,245,2026-06-06
398,Speaker,Electronics,Dell,A2,274,97,177,189,2026-04-18
399,Laptop,Electronics,Logitech,C1,249,210,39,46,2026-03-29
400,GPU,Components,HP,B2,466,394,72,54,2025-10-31
401,Router,Networking,Logitech,A3,221,31,190,206,2025-12-29
402,Speaker,Electronics,Lenovo,C1,293,127,166,169,2026-01-14
403,GPU,Components,Logitech,B1,394,164,230,247,2026-05-21
404,Scanner,Electronics,Samsung,B2,415,122,293,292,2025-09-17
405,Webcam,Accessories,HP,C2,471,236,235,232,2025-12-29
406,CPU,Components,Samsung,A2,230,84,146,166,2025-12-29
407,SSD,Storage,Samsung,A1,477,371,106,103,2025-07-31
408,Scanner,Electronics,Lenovo,C3,485,50,435,421,2025-06-26
409,Webcam,Accessories,Lenovo,C1,94,92,2,13,2026-01-23
410,Speaker,Electronics,Lenovo,B2,385,50,335,315,2026-06-05
411,Webcam,Accessories,Samsung,C1,469,401,68,67,2025-08-22
